Query	ShortQuery
Добрый день.Подскажите пожалуста.У меня работник в отпуске по 28.12.2023 г включительно.Пришел написал заявление на увольнение.Каким числом я его должна уволить 28 или 29 декабря	Как рассчитывается компенсация при увольнении в отпуске?
Добрый день. Подскажите, что нужно делать, если сотрудник во время отпуска пошел на больничный ? Нужно ли отвечать на этот больничный?	Как отвечать на больничный лист сотрудника во время отпуска?
Здравствуйте! Подскажите, пожалуйста, если сотрудник берет отпуск с последующим увольнением, то он же может не брать отпуск на все накопленные дни, а получить еще компенсацию за неотгул. отпуск в последний раб. день?	Можно ли получить компенсацию за неотгул отпуск в последний рабочий день при увольнении?
Здравствуйте. Сотрудница работает внешним совместителем. У нее заканчивается больничный по беременности и родам 02.02.24. Пособие до 1,5 лет она будет оформлять по основному месту работы. Какие документы нужно оформить, чтобы отправить ее в отпуск до 1,5 без назначения пособия?	Какие документы нужно оформить для отправки в отпуск без назначения пособия до 1,5 лет?
Добрый день, подскажите если сотрудник уходит в отпуск января 2024 года. Устроился к нам 30.05.2013 года, какой период работы должен указан быть в приказе	Какой период работы должен указываться в приказе для сотрудника, ушедшего в отпуск в январе 2024 года, если он устроился в компанию 30.05.2013 года?
Добрый день, подскажите в отчете ЕФС-1 с подразделением 1.2(замена СЗВ-Стаж) должны указывать всех сотрудников или только у кого отпуск за свой счет, декретн,, вахтов. и т.д?	Как заполнять отчет ЕФС-1 с подразделением 1.2 для сотрудников с отпуском за свой счет, декретом, вахтовкой и т.д.?
Добрый день.Подскажите,пожалуйста. Сотрудница вышла в отпуск по уход.за ребенком до 1.5 лет, и сразу же вышла на работу на условиях неполного раб.времени с сохранением пособия. Как это отразить в СЗВ-СТАЖ? Код ДЕТИ не проставляем, верно? И нужно ли указать ставку 0,5?	Как отразить в СЗВ-СТАЖ выход на неполный рабочий день из отпуска по уходу до 1.5 лет с сохранением пособия?
Доброго Дня! Сотрудник отработал 6 мес., у него наступает право на оплачиваемый отпуск. Обязан ли ИП предоставить отпуск за 12 мес. по просьбе сотрудника? Или может отказать и предоставить только за проработанное время? Спасибо.	Может ли ИП предоставить отпуск за 12 мес. по просьбе сотрудника, если он проработал только 6 мес.?
Добрый день! В какой срок и на какую дату нужно подать форму ЕФС-1 подраздел 1.2, до окончания отчетного периода, на сотрудницу которая подала заявление на отпуск по беременности и родам или по уходу за ребенком до 1,5 лет?	Как отразить в СЗВ-СТАЖ выход на неполный рабочий день из отпуска по уходу до 1.5 лет с сохранением пособия?
Доброго Дня! ИП закрывает магазин и предлагает сотрудникам другие места работы - в другом магазине. Если кто-либо из сотрудников отказывается, то обязан ли ИП сделать какие-либо выплаты этому сотруднику в связи с сокращением, кроме компенсации за отпуск? Спасибо.	Обязаны ли работодатели выплачивать компенсацию за отпуск при сокращении рабочих мест?
Каким образом исчисляется средний заработок при начислении отпуска по уходу до 1,5 лет, в случае если сотрудница числилась у двух страхователей?	Как рассчитывается средний заработок при начислении отпуска по уходу до 1,5 лет, если сотрудница числилась у двух страхователей?
Здравствуйте ! Предоставляются ли дополнительные дни отпуска в связи с бракосочетанием? Если предоставляются , то они оплачиваемые или за свой счет ?	Предоставляются ли дополнительные дни отпуска в связи с бракосочетанием и оплачиваемые ли они?
Сотрудница после выхода из декретного отпуска вышла на полный рабочий день, соответственно заявление на пособие по уходу за ребенком до 1,5 лет не писала. В связи с изменениями в 2024 году сотрудница написала заявление на выплату данного пособия. Положено ли ей пособие по уходу за ребенком до 1,5 лет, если она работает на полной ставке и до сегодняшнего момента заявления не писала? Если она имеет право на данное, то как в данном случае необходимо оформить?	Может ли сотрудница, работающая на полной ставке, получить пособие по уходу за ребенком до 1,5 лет, если она не подавала заявление ранее?
у нас трудится внешний совместитель на 0,5 ставки. По основному месту работы он является директором в ООО, в котором деятельность пока не ведется, т.е. он находится в отпуске без сохранения зарплаты. В настоящее время он хочет перейти на полную ставку в нашей компании. Возможно ли это?	Можно ли совмещать должность директора ООО с другой работой на полной ставке?
здравствуйте! подскажите пожалуйста Нужно  платить страховые взносы на травматизм с зарплаты и компенсации за не использованный отпуск умершему сотруднику. начисление после смерти сотрудника	Как платить страховые взносы на травматизм с зарплаты и компенсацию за не использованный отпуск?
Здравствуйте. Сотрудница на момент выхода в отпуск по уходу за ребенком до 1,5 лет работала в двух организациях. Пособие выбрала получать в ИП, так как зп там была больше. Сегодня она планирует уволиться от ИП. Остаться в ООО и получать пособие от ООО. Но зарплата в ООО была меньше, чем в ИП. Поясните, как ФСС будет начислять пособие? Пособие станет меньше?	Как будет рассчитываться пособие, если сотрудница работала в двух организациях и выбирает получать пособие в одной из них?
здравствуйте, подскажите, работник уходит в отпуск с 01 января 2024 года, а сумма отпускных начисляется и выплачивается 29 декабря 2023 года. С января новые оклады, по каким окладам считать???	Какие оклады считать для работника, уходящего в отпуск с 01 января 2024 года, но сумма отпускных выплачивается 29 декабря 2023 года?
Добрый день, Директор находится в отпуске, приказ на замещение и право подписи не делали, может ли он утверждать авансовые отчеты  и подписывать приказ на увольнение сотрудника	Может ли директор в отпуске подписывать документы?
Добрый день, подскажите, пожалуйста, по какому пункту закона или мет. рекомендациям лимит резерва отпусков достигается когда входящий остаток на начало года + начисленный резерв = установленному в компании пределу, а не когда входящий остаток + начисленный резерв-потраченный резерв = установленный предел. То есть почему при достижении предела не учитывается потраченный на отпуска резерв?	Как рассчитывается лимит резерва отпусков?
Добрый день, есть решение от 30 ноября 2023 г единственного учредителя от 30 ноября 2023 г  о выплате дивидендов за 2018 год. Однако с 1 декабря 2023 г он находится в ежегодном отпуске, т к одновременно является и работником предприятия, правомерно ли во время его отпуска выплачивать дивиденды на его банковскую карту?	Можно ли выплачивать дивиденды во время отпуска учредителя?
Сотрудник умер 7сентября 23г.,находясь на продолжительном б/листе,его родственникам выплачено пособие на погребение,мат.помощь 10000руб,компенсация за неиспользованный отпуск 15000руб.Какие суммы конкретно необходимо указать в строке 070 на этого сотрудника???	Какие суммы необходимо указать в строке 070 на сотрудника, умершего 7 сентября 2023 года, находясь на продолжительном больничном листе?
"Добрый день! Если сотрудница оформила отпуск по беременности и родам с ноября 2023 по апрель 2024 (больничный лист). Пособие за 140 дней СФР ей выплатил в ноябре 2023 года. Нужно ли в 2024 году подавать на неё Подраздел 1.2 ЕФС-1 с типом сведений ""Назначение выплат по ОСС"" с 01.01.2024 по Дата окончания больничного по беременности и родам?"	Как рассчитывается компенсация при увольнении в отпуске?
подскажите, пожалуйста, у сотрудницы отпуск с 9 января 2024, отпускные мы выплачиваем 29 декабря 2023. Должны ли мы сумму НДФЛ отразить в уведомлении, которое формируется с 23.12-29.12?	Как рассчитывать отпуск в праздничные дни?
Добрый день. вопрос по ЕФС-1 (стаж) есть сотрудники с отпуском за свой счёт - сдаём? сотрудники по уходу за ребёнком до 1,5 лет - не сдаём? Временная нетрудоспособность, отпуска - не сдаём? период работы по ТД и ГПХ - не сдаём? Доноры день сдачи и дни отпуска - сдаём, то какие коды или не сдаём? сотрудники в обособленном подразделении г.Кемерово- сдаём, то  какие коды, коэффец. или не сдаём? можно ссылку не на статью, а конкретно выдержку из документа	Как сдавать ЕФС-1 для сотрудников с разными типами отпуска?
"Добрый день. Подскажите, пожалуйста, нужно ли подавать ЕФС-1 с типом ""Назначение выплат по ОСС"" на сотрудниц, которые уходят в отпуск по уходу от 1,5 до 3 лет, но работающих неполное рабочее время? спасибо"	"

Заполнение ЕФС-1 при уходе в отпуск по беременности и родам и уходу до 1.5 лет работающих неполное рабочее время?"
Добрый день! Подскажите , пожалуйста ,    справка о среднем заработке с предыдущего места работы попадает в расчёт отпускных на новом месте?	Как рассчитывается компенсация при увольнении в отпуске?
"Добрый день, подскажите, пожалуйста, если у сотрудника в период отпуска случился больничный лист. Сотрудник не хочет ""переносить отпуск на ""после окончания БЛ"" и выходит на работу. Как правильно создать приказ ""на отзыв из отпуска"" и тогда мы удерживаем отпускные  и за этот период начисляем оплату по БЛ? Или правильно  сделать приказ на ""перенос отпуска"", но у нас нет точных дат, так как сотрудник возмет эти дни в каких-то других месяцах в течение года?"	Как начислять и учитывать больничный лист в отпуске?
добрый день. Работник целый месяц был в отпуске без сохранения з/пл .Надо ли его указывать в табеле учета рабочего времени? Программа его не заполняет.	Как учитывать отпуск без сохранения зарплаты в табеле учета рабочего времени?
Сотрудник умер 7сентября 23г.,находясь на продолжительном б/листе,его родственникам выплачено пособие на погребение,мат.помощь 10000руб,компенсация за неиспользованный отпуск 15000руб.Какие суммы конкретно необходимо указать в строке 070 на этого сотрудника???	Какие суммы необходимо указать в строке 070 на сотрудника, умершего 7 сентября 2023 года, находясь на продолжительном больничном листе?
Добрый день, у нас в компании есть сотрудница, у кот отпуск по беременности и родам. По новым правилам вместо СЗВ-СТАЖ , необх сдавать ЕФС раздел 1.2 и подать данные только по ней?	Как сдавать ЕФС-1 для сотрудницы на отпуск по беременности и родам вместо СЗВ-СТАЖ?
Добрый день! Подскажите пожалуйста, обязательно ли платить сотруднице, которая находится в отпуске по уходу за ребенком, премию за выслугу лет в нашей компании?	Обязательно ли платить премию за выслугу лет сотруднице в отпуске по уходу за ребенком?
"День добрый. Скажите, как лучше поступить. Работнику выплатили отпускные в конце августа. За сентябрь. В сентябре он взял б/л на неделю. Пересчитала отпускные. И начисления в сентябре получились ""по минусу"". Что мне нужно скорректировать теперь, чтобы отчетность по страховым взносам правильно составить?"	Как скорректировать начисления в сентябре после выплаты отпускных и получения больничного листа?
Добрый день! Отпуск у работника захватывает дни отдыха с 1 по 8 января 2024г., как считаются эти дни для отпуска?	Как рассчитывать отпуск в праздничные дни?
Здравствуйте! Если работницы давно в отпуске, то на конец года по ним в акте инвентаризации отпусков надо ставить расчетную цифру? Ведь в определенный момент средний заработок и резерв по их отпуску перестал пересчитываться из-за отсутствия среднего заработка	Как рассчитывается расчетная цифра для работницы в отпуске на конец года?
обрый день, ООО УСН 6% стоматология частная. какой код надо использовать в СЗВ СТАЖ для отпуска по вредности по СОУТ- 2 недели?  «Какие коды и когда ставить в СЗВ-СТАЖ» © Материал из БСС «Система Главбух». Подробнее: https://1gl.ru/#/document/16/128553/?of=copy-99314412e7	Какой код надо использовать в СЗВ СТАЖ для отпуска по вредности по СОУТ-2 недели?
Добрый день! Правомерно ли выплатить сотруднику денежную компенсацию за отпуск? Сотрудник не хочет идти в отпуск, а хочет вместо этого получить компенсацию. Спасибо.	Можно ли выплачивать денежную компенсацию за отпуск вместо самого отпуска?
Добрый день. ЕФС-1  подраздел 1.2 сдают только по работникам, у которых есть право на досрочную пенсию. На остальных подавать его не нужно? т. е. отчет сдается только с разделом 2? нужно ли подавать сведения по отпускам без сохранения заработной платы и больничным?	Как рассчитывается компенсация при увольнении в отпуске?
Как в отчете ЕФС-1 стаж(новый) показать работника, который был в отпуске по уходу за ребенком до 1,5 лет и работал неполный рабочий день	Как показать стаж работника, который был в отпуске по уходу за ребенком до 1,5 лет и работал неполный рабочий день в отчете ЕФС-1?
Добрый день, если работник принят на работу  в 2021 году и в 23 году уже ходил в отпуск на 28 календарных дней и увольняется 27 декабря , значит компенсацию за отпуск он не получает	Получает ли работник компенсацию за отпуск, если он уволился после уже проведенного отпуска?
если сотрудник в отпуске по уходу за ребенком и работает 5 часов в день, что указывать в форме ЕФС Подраздел 1.2 (Cведения о страховом стаже) годовой отчет	Как указывать в форме ЕФС Подраздел 1.2 (Cведения о страховом стаже) годовой отчет для сотрудника, работающего 5 часов в день в отпуске по уходу за ребенком?
подскажите если сотрудники уходят в отпуск поочереди, их заменяет один человек, можно ли с ним оформить договор ГПХ на это время или это должен быть обязательно трудовой договор?	Можно ли оформить договор ГПХ на время замены сотрудников в отпуске?
Здравствуйте Вопрос. Сотрудник оформил отпуск с 01.08.2023 по 28.08.2023 . С 23.08 по 28.08 у сотрудника больничный лист. С 01.08.2023 по 03.09.2023  отпуск был продлен из больничного. Как все это отразить в отчете СЗВ стаж	Как отразить в отчете СЗВ стаж отпуск с больничным листом и продление из больничного?
передать письменно. Подскажите если сотрудник хочет сейчас получить отпускные а отгулять в декабре. Наша компания не против. как законно это сделать	Как законно предоставить отпускные заранее?
Добрый вечер! Подскажите пожалуйста, а если у сотрудницы был отпуск по уходу за ребенком до 1,5 лет (с 14.05.22 по 20.08.23) и далее заявление на отпуск по уходу за ребенком до 3 лет (с 21.08.23 по 20.02.25) надо ли заполнять подраздел 1.2 формы ЕФС-1 за 2023 года и какой тип сведений указывать: первичный или назначение выплат по ОСС?	Как заполнять форму ЕФС-1 для сотрудницы, которая была в отпуске по уходу за ребенком до 1,5 лет и затем подала заявление на отпуск по уходу за ребенком до 3 лет?
Добрый день.Хотим уволить сотрудника по соглашению сторон,кроме з.п и компенсации  за отпуск ,что мы должны выплатить в каком размере и чем эта компенсация будет облагаться?	Как рассчитывается компенсация при увольнении в отпуске?
Здравствуйте! Сотрудник взял отпуск авансом, потом ушел на больничный. За декабрь нет заработка. Теперь увольняется. Как рассчитать сотрудника при увольнении если у него нет заработка и взяты дни отпуска авансом?	Как рассчитывать заработную плату при увольнении сотрудника, если у него нет заработка и взяты дни отпуска авансом?
Добрый день Сотрудница ушла в отпусг по уходу до 1,5 лет 07 ноября 2022 года. Весь 2023 год была в данном отпуске. Сам отпуск закончится 4 марта 2024 года. Подскажите  отчет ЕФС-1 за 2023 год нужно ли подавать на данную сотрудницу сведения? Ребенку в 2023 не исполнилось еще 1,5 лет.	Нужно ли подавать отчет ЕФС-1 за 2023 год для сотрудницы, которая была в отпуске по уходу до 1,5 лет и ребенку в 2023 году не исполнилось еще 1,5 лет?
Добрый день. подскажите, пожалуйста, надо ли заполнять на декретниц и сотрудниц , находящихся в отпуске по уходу за ребенком до 1,5 и 3-х лет  отчет ЕФС-1 раздел 1.2? Надо ли указывать окончание декрета в январе 2024 года? или  конец периода проставлять 31 декабря 2023 года и подавать уже дополнительный ЕФС-1 раздел 2.1 в 2024 году?	Как заполнять ЕФС-1 для сотрудников на декрет по уходу за ребенком до 1,5 и 3-х лет, находящихся в отпуске?
вопрос верно ли утверждение, что резервы по отпускам, проверяются только в конце года по результатам инвентаризации, т.к. основным документом, который подтверждает правильность формирования сальдо по сч. 96 на отчетную дату (в бухгалтерском и налоговом учете), является инвентаризационная опись по данному счету	Правильность проверки резервов по отпускам в конце года и использование инвентаризационной описи для подтверждения сальдо по счету 96.
Добрый день . При составлении сведений о трудовой деятельности в МКС, указаны дополнительные сведения ДЛОТПУСК. Можно образец заполнения мне отправить	Как заполнять сведения о трудовой деятельности в МКС, указав дополнительные сведения ДЛОТПУСК
Сотрудница вышла в отпуск по уходу за ребенком до 1,5 лет в 2023 году, но продолжала работать в период отпуска по уходу за ребенком в режиме неполного рабочего времени. Нужно ли подать ЕФС-1 Подраздел 1.2 (сзв стаж) по данной сотруднице в отчете за 2023 год?	Как отразить в СЗВ-СТАЖ выход на неполный рабочий день из отпуска по уходу до 1,5 лет с сохранением пособия?
Чтобы рассчитать средний дневной заработок для начисления больничного, разделите заработок сотрудника за расчетный период на 730 (ч. 3 ст. 14 Закона от 29.12.2006 № 255-ФЗ, в ред. Закона от 02.04.2023 № 98-ФЗ). Число 730 для пособия по временной нетрудоспособности нельзя уменьшать на дни болезни, отпуска, командировки и подобные периоды, которые совпали с расчетным. Никакие иные периоды не уменьшают число 730. «Как рассчитать средний дневной заработок для больничного». И.М. Савич © Материал из БСС «Система Главбух». Подробнее: https://www.1gl.ru/#/document/86/595999/bssPhr7/?of=copy-ea645da68a  «Как учесть изменение зарплаты при расчете отпускных». И.И. Шкловец © Материал из БСС «Система Главбух». Подробнее: https://www.1gl.ru/#/document/16/54644/?of=copy-2afc4a0f3f	Как рассчитывается средний дневной заработок для начисления больничного?
Здравствуйте, скажите пожалуйста ПЕРВЫЙ отпуск в году должен быть не менее 14 дней? или всего в году не менее 14? а остальные например можно отгулять 10 дней в феврале 4 дня а апреле и оставшиеся 14	Как рассчитывается минимальная продолжительность отпуска в году?
Здравствуйте! Подскажите, пожалуйста, в ЕФС-1 (сзв-стаж) за 2023 г. нужно включать всех сотрудников или же только тех, кто в отпуске по уходу за ребенком, в отпуске без з/п и др.	Какие сотрудники нужно включать в ЕФС-1 (сзв-стаж) за 2023 г.?
здравствуйте, подскажите пожалуйста работник в 2023 году взял только половину отпуска, что указать в графике отпусков за 2023 год в основании переноса отпуска и нужо ли указать дату предполагаемого отпуска.Спасибо	Как указать в графике отпусков за 2023 год, что работник взял только половину отпуска и нужно ли указывать дату предполагаемого отпуска?
Добрый день! Подскажите пожалуйста в таком вопросе: перерывы для кормления ребенка облагаются НДФЛ и взносами ? Включаются при расчете среднего заработка (например отпуск) данные выплаты ?	Перерывы для кормления ребенка облагаются НДФЛ и взносами?
Добрый день. Подскажите, есть какие-то правила, рекомендации о допустимости установления различных отпускных цен на одни и те же товары для различных контрагентов. В частности интересует, есть ли регулируемая разница в между минимальной и максимальной отпускной ценой на один и тот же товар различным контрагентам.	Есть ли разница в установлении отпускных цен для различных контрагентов?
Добрый день! Сотрудница увольняется после декрета, для расчета компенсации за неиспользованный отпуск учитывается период, когда ее зп была ниже чем мрот на сегодняшний день, как посчитать компенсацию? нужно ли сравнивать заработок на тот период с мрот на сегодняшний день?	Как рассчитывается компенсация за неиспользованный отпуск после увольнения?
Добрый день! Работодатель принял сотрудника на вновь созданное рабочее место, которое впоследствии может окажется опасным (вредным.) Когда у сотрудника возникает право на получение соответствующих доплат и дополнительного оплачиваемого отпуска ? С момента приема его на работу на данное рабочее место или с момента проведения спецоценки?	Как рассчитывается доплата и дополнительный оплачиваемый отпуск для сотрудника, работающего на опасном (вредном) рабочем месте?
Добрый день, вопрос:: Сотрудник организации- отец  уходит в отпуск по уходу за ребенком до 1,5 лет, может ли он продолжать работать в той же должности на условиях неполного рабочего времени и когда ( с какого дня) мы его можем отправить в отпуск по уходу если мать не работает	Может ли сотрудник, уходя в отпуск по уходу за ребенком до 1,5 лет, продолжать работать на условиях неполного рабочего времени и с какого дня мы можем отправить его в отпуск, если мать не работает?
Организация планирует выплатить сотрудникам разовую выплату к Новому году . Предполагается одинаковая фиксированная сумма для всех сотрудников независимо от нахождения сотрудников на работе, в отпуске, на больничном ит.д.. Разовая выплата оговорена в системе оплаты труда организации. Все выплаты облагаются НДФЛ и страховыми взносами. Как правильно оформить выплату, чтобы сумма выплаты и страховых взносов уменьшали налогооблагаемую базу по налогу  на прибыль?	Как оформить разовую выплату сотрудникам, чтобы сумма выплаты и страховых взносов уменьшали налогооблагаемую базу по налогу на прибыль?
в 2024 году надо организации создавать приказ об отпуске сотрудницы по уходу за ребенком до 1,5 лет и 3х лет?	Как создавать приказ об отпуске сотрудницы по уходу за ребенком до 1,5 лет и 3х лет?
Добрый день! Сотрудник ушел в отпуск с декабря 2023 по конец января 2024. Надо ли пересчитывать отпускные в связи с увеличением МРОТ? Спасибо!	Как рассчитывается компенсация при увольнении в отпуске?
Добрый день! Подскажите пожалуйста, работодатель обязан ли предоставлять сотруднику отпуск через 6 мес. после трудоустройства или это по согласованию с работодателем?	Как рассчитывается компенсация при увольнении в отпуске?
Доброе утро! У сотрудника ребенок инвалид. Он хочет взять отпуск ( по уходу за детьми-инвалидами) за 2023 г. - 16 дней. В 2023 году он успевает взять только 15, можно ли один день из 16 перенести на январь 2024 года?	Можно ли переносить один день отпуска на следующий год?
Здравствуйте. Подскажите, сотрудница нашей организации с ноября 2023 г. находится в отпуске по уходу за ребенком до 1,5 лет, она не предоставляла документы для формированияя работодателем реестра на выплату ей пособия. И сейчас все документы предоставила только в январе 2024 года. Два вопроса: возместит ли ФСС пособие за ноябрь и декабрь? и возможны ли штрафы работодателю за то, что реестр отправлен не в ноябре 2023, когда сотрудница вышла в отпуск по уходу за ребенком до 1,5 лет, а только в январе 2024?	Возмещение пособия за отпуск по уходу за ребенком до 1,5 лет, если документы предоставлены в январе 2024 года.
отрдница в прошлом году ушла в отпуск по уходу за ребенком до 1,5 лет. Ее средний заработок составляет 5500. С 01.02.2024 увеличивается  максимум пособия по уходу за ребнком. Увеличится ли в этом случае пособие у сотрудницы, которая ушла в отпуск в 2023г?	Увеличение максимума пособия по уходу за ребенком в 2024 году на сотрудницу, которая ушла в отпуск в 2023 году?
