Query	ShortQuery
Сохранение пособия по уходу за ребенком при выходе на работу  С 2024 года родители не будут терять право на пособие по уходу за ребенком до 1,5 лет в случае досрочного выхода из отпуска на работу. Новое правило работает в том числе при выходе на работу на неполный рабочий день, на работу на дому и на дистанционную работу. Пособие также сохранится у тех, кто в период отпуска по уходу за ребенком трудится у другого работодателя    Информация Социального фонда России от 27.12.2023 № б/н Услуги Социального фонда – 2024: что ждет россиян с нового года © Материал из БСС «Система Главбух». Подробнее: https://www.1gl.ru/#/document/97/513815/dfasy1xcog/?of=copy-c774649197	Как сохранять пособие по уходу за ребенком при выходе на работу на неполный рабочий день?
Хотим уточнить - п.77,3 Указаний - средняя численность не полностью занятых работников за отчетный месяц в пересчете на полную занятость путем деления отработанных человеко-дней на число рабочих дней по календарю в отчетном месяце. При этом за дни болезни, отпуска, неявок (приходящиеся на рабочие дни по календарю) в число отработанных человеко-часов условно включаются часы по предыдущему рабочему дню (в отличие от методологии, принятой для учета количества отработанных человеко-часов). Для сотрудника, внешнего совместителя, который был в отпуске/больничном листе с 01 по 30 ноября как будут учитываться часы ?	Как учитывать часы работы внешнего совместителя, который был в отпуске/больничном листе с 01 по 30 ноября?
Добрый день! Сотрудник внешний совместитель, график 2 через 2, работает с 01.10.23, идет в отпуск с 27.01.24-01.02.24, как рассчитать отпускные?	Как рассчитывать отпускные для внешнего совместителя с графиком 2 через 2?
Добрый вечер! Включаются ли суммы компенсации за задержку зарплаты в средний заработок при расчете компенсации за неиспользованный отпуск при увольнении?	Как рассчитывается компенсация за неиспользованный отпуск при увольнении?
Здравствуйте. Может ли сотрудник взять отпуск, например, 1) только в субботу и воскресенье; 2) за период с четверга по субботу или по воскресенье включительно?	Можно ли взять отпуск только на субботу и воскресенье или за период с четверга по субботу или по воскресенье включительно?
Добрый день! Увольнение работника в связи с окончанием срока по трудовому договору (на время отпуска по уходу за ребенком) по какой статье происходит увольнение , и формулировка в трудовой книжке. Спасибо	Какая статья и формулировка увольнения для работника, уволенного в связи с окончанием срока по трудовому договору (на время отпуска по уходу за ребенком)?
Добрый день! Работник имеет неиспользованные дни отпуска в количестве 56 дней. Может ли он их выбрать в течение одного календарного года? Или он может взять только 28 дней, а компенсацию за остальные дни получить при увольнении? Заранее спасибо.	Может ли работник выбрать неиспользованные дни отпуска в течение одного календарного года?
Здравствуйте,помогите,пожалуйста, найти ответ на мой вопрос:сотрудница с 2009г по  сентябрь 2020 г. работала в другой компании,откуда ушла в декрет и в отпуск по ухлду за ребенком до 1,5 лет...находясь в этом отпуске она увольняется из  компании (по соглашению сторон) и оставшийся 2020,2021 и 2022 год нигде не работает...в апреле 23 года она устраивается на работу и в августе 23 увольняется и приходит работать к нам в сентябре 2023...в декабре 2023 она уходит на больничный по уходу за ребенком.Т.к. она в 2021-2022гг нигде не работала и не имела дохода,я считаю ей больничный по МРОТ,верно ли это?я же не должна произвести ей замену лет в этом случае?	Можно ли считать больничный по МРОТ для сотрудницы, которая в 2021-2022 годах не работала и не имела дохода?
Добрый день. Возвращаюсь ко вчерашнему вопросу.Если организация направляет на обучение сотрудника,но договор заключен и оплачен самим сотрудников,в таком случае учебный отпуск оплачивается? ответ прошу дать письменно	Как рассчитывается компенсация при увольнении в отпуске?
Добрый день !У руководителя отпуск 28 календарных дней. За много лет накопился неиспользованный отпуск. Можно ли ему выплатить компенсацию за неиспользованный отпуск, если он не увольняется?	Можно ли выплатить компенсацию за неиспользованный отпуск, если сотрудник не увольняется?
Прошу проконсультировать: Работница выходит из отпуска до 1,5 лет и работает 40 часов , имеет ли право на пособие за счет СФР по уходу за ребенком	Как рассчитывается пособие за уход за ребенком после отпуска по уходу до 1,5 лет?
Здравствуйте!  Работник был переведен на должность начальника отдела и с этой должности ушел в очередной оплачиваемый отпуск. В новой должности отработал 10 дней. Затем приказ о переводе был признан работодатель незаконно изданным. Должен ли работник вернуть отпускные, в частности за отработанные 10 дней?	Работник переведен на новую должность и ушел в отпуск. После этого перевод был признан незаконным. Должен ли работник вернуть отпускные за отработанные дни?
Доброе утро. Подскажите, как правильно заполнить периоды работы в СЗВ-Стаж ( имею в виду в отчете ЕФС-1) за 2023г, если у сотрудника был отпуск по уходу за ребенком и в этом же периоде она выполняла работы по договору ГПХ? Какой период сначала указывать?	Как заполнять периоды работы в СЗВ-Стаж, если у сотрудника был отпуск по уходу за ребенком и в этом же периоде она выполняла работы по договору ГПХ?
Правильно ли я поняла, что сотруднику находящемуся в ежегодном оплачиваемом отпуске (в нашем случае внешнему совместителю) больничный по уходу за ребенком на этот период не оплачивается?	Оплата больничного по уходу за ребенком в ежегодном оплачиваемом отпуске у внешнего совместителя.
Добрый день Просьба проконсультировать.  Сотрудник в мае отработал не полный месяц был на больничном листе , дни б/л пршлись на праздничные дни (05.05.2023-11.05.2023= всего 7 дней) . При расчете в декабре отпускных ,  при расчете дней расчетного периода программа расчитывает дни в мае не учитывая праздничные дни, берет в расчет только дни если бы он работал. (29/31*28=26,46) , это верно?	Как рассчитывать отпускные дни, учитывая праздничные дни?
отец хочет уйти  в отпуск по уходу за ребенком до 1,5 лет. Он работает на основном месте работы и по совместительству, может ли он по совместительству попросит работодателя оформить пособие до 1,5 лет	Может ли отец по совместительству попросить работодателя оформить пособие до 1,5 лет?
Здравствуйте! При увольнении сотрудника в июле месяца были неверно рассчитаны его расчетные (компенсация отпуска). Если сейчас ему доначислить, довыплатить, то надо ли считать ему компенсацию за задержку с компенсации отпуска?	При увольнении сотрудника, если расчетные рассчитаны неверно, надо ли считать компенсацию за задержку с компенсацией отпуска?
Здравствуйте. В отчёте сзв-стаж нужно ли указывать МКС с районным коэффициентом 1,7 при отпуске по уходу за ребёнком, период временной нетрудостпособноти?	Как указывать МКС с районным коэффициентом при отпуске по уходу за ребенком?
Сотрудник ушел в отпуск на  14 дней и будучи в отпуске просит еще отпуск на 12 дней. Вопрос на следующие 12 дней в какой срок нужно выплатить отпускные?	Как рассчитывается компенсация при увольнении в отпуске?
Здравствуйте! Уточните пожалуйста может ли сотрудница во время отпуска по беременности и родам и при получении пособия по бир работать	Может ли сотрудница работать во время отпуска по беременности и родам и при получении пособия по бир?
подскажите пожалуйста. Может ли директор организации единственный учредитель брать отпуск без сохранения заработной платы на длительный срок например 1-2 месяца?	Может ли директор организации единственный учредитель брать отпуск без сохранения заработной платы на длительный срок например 1-2 месяца?
сотрудник идет в отпуск в феврале 2024 года в январе 2024 выплачена годовая  премия за 2023 г. , а в феврале 2023 годовая премия за 2022 год . какая премия войдет в расчёт	Какая премия войдет в расчет для сотрудника, который идет в отпуск в феврале 2024 года, а в январе 2024 года выплачена годовая премия за 2023 г., а в феврале 2023 годовая премия за 2022 год?
Если в отчетном периоде не было работников, которые работникам, которые в отчетном периоде:  выполняли работу, которая дает право на досрочную пенсию; работали в сельском хозяйстве и при исчислении стажа работы которых применяется список работ, производств, профессий, должностей, специальностей, в соответствии с которым устанавливают повышение размера фиксированной выплаты к страховой пенсии по старости и к страховой пенсии по инвалидности (ч. 14 ст. 17 Закона от 28.12.2013 № 400-ФЗ); формировали свои пенсионные права в соответствии с Законом от 15.05.1991 № 1244-1 «О социальной защите граждан, подвергшихся воздействию радиации вследствие катастрофы на Чернобыльской АЭС»; замещали государственные или муниципальные должности, а также должности государственной гражданской службы и муниципальной службы; работали полный навигационный период на водном транспорте, полный сезон на предприятиях и в организациях сезонных отраслей промышленности, вахтовым методом; работали в период отбывания наказания в виде лишения свободы; имели периоды простоя или отстранения от работы; имели периоды освобождения от работы с сохранением места работы на время исполнения государственных или общественных обязанностей; находились в отпуске по уходу за ребенком в возрасте от полутора до трех лет, в отпуске без сохранения зарплаты. ТО СЗВ-СТАЖ сдавать не нужно до 25.01.2024?	Как считать отпуск, когда работник находился в отпуске без сохранения зарплаты?
Добрый день, у нашего сотрудника накопился ежегодный оплачиваемый отпуск 84 календарных дня. Можем ли мы выплатить компенсацию за отпуск за 56 дней?	Можно ли выплатить компенсацию за отпуск меньше, чем накопился отпуск?
Здравствуйте. Нужно ли посылать Форму ЕФС-1 по стажу, если все работники работали, у них нет отпусков за свой счет, отпуска по беременности и по уходу за ребенком и т.п.? 1С ЗУП ничего не заполнила.	Как отразить в СЗВ-СТАЖ выход на неполный рабочий день из отпуска по уходу до 1.5 лет с сохранением пособия?
Добрый день! Если сотрудник идет в отпуск, но в его расчетном периоде за 12 месяцев - 10 месяцев он находился на больничном, то в расчет брать ли 2 месяца его фактической зарплаты ?	Как рассчитывать зарплату сотрудника, если он был в отпуске и на больничном?
как указывать отпуск по уходу за ребенком до 1,5 лет и отпуск по уходу за ребенком до 3 лет в СЗВ-Стаж (в составе ЕФС-1)?	Как указывать отпуск по уходу за ребенком до 1,5 лет и отпуск по уходу за ребенком до 3 лет в СЗВ-Стаж (в составе ЕФС-1)?
Добрый день! Подскажите, 29.12.2023 года была рассчитана заработная плата за декабрь 2023 , планируемая дата выплаты 12.01.2024 г, сегодня 10.01.2024 г.  нам предоставили свидетельство о смерти сотрудника, умер он 24.12.2023 г., заявления от родственников на выплату им причитающихся денежных средств (ЗП и компенсации отпуска при увольнения) еще нет. Как должны начисляться страховые взносы и НДФЛ на данные суммы?	Как рассчитывается страховая выплата при смерти сотрудника?
Екатерина, проконсультируйте, пжлста, в какие сроки нужно сдать отчет с января 2024 года? ПОДРАЗДЕЛ 1.2 ЕФС-1 ПО СОТРУДНИЦАМ, УХОДЯЩИМ В ОТПУСКА ПО БИР И ПО УХОДУ ЗА РЕБЕНКОМ	Как считать сроки сдачи отчета с января 2024 года для сотрудниц, уходящих в отпуск по беременности и по уходу за ребенком?
Добрый день! Вопрос по заполнению формы статистики 1-Т (условия труда). В течение года была выплачена компенсация ежегодного дополнительного оплачиваемого отпуска при увольнении работников. Должна ли быть эта сумма отражена по строке 20 раздела 2 формы?  По строке 23 необходимо показать сумму выдаваемого молока или других равноценных пищевых продуктов. У нас молоко заменено денежной компенсацией. Сумму денежной компенсации необходимо показать по строке 23 формы или здесь только расходы на физическую выдачу молока должны быть отражены?	Как отразить в форме статистики 1-Т компенсацию ежегодного дополнительного оплачиваемого отпуска при увольнении работников и расходы на физическую выдачу молока или их денежную компенсацию?
"Выдержка из Вашего ответа: ......, только 7 дней можно заменить компенсацией. Я прочитала ваши пояснения и из п. ""Когда заменить отпуск компенсацией нельзя"" и поняла, что допустимо заменить только в части, превышающей 7 календарных дней, а у нас не превышает..."	Как заменить отпуск компенсацией, если превышение дней отпуска не достигает 7 дней?
Можно ли уволить сотрудника, который  находиться в декретном отпуске по уходу за ребенком от 1,5 до 3-х лет без содержания?	Можно ли уволить сотрудника в декретном отпуске без содержания?
Добрый день.                                              У меня вопрос по расчету отпускных. Если у работника прогул или он брал дни без сохранения зарплаты, при расчете отпускных учитывается полный календарный месяц и коэффициент ?	Как рассчитывается коэффициент отпуска при прогуле или днях без сохранения зарплаты?
Здравствуйте, сотрудник, устроенный 01.08.2023 года, просит выплатить ему компенсацию за неиспользованный отпуск. Это можно сделать или это делается в момент увольнения?	Как выплачивать компенсацию за неиспользованный отпуск при увольнении?
Добрый день! Подскажите, пожалуйста, может ли сотрудница при уходе в 2024 г. в декретный отпуск, поменять года на 21 и 22 г. Беременность вторая	Может ли сотрудница при уходе в декретный отпуск, поменять года на 21 и 22 г. Беременность вторая?
Добрый день. в 2022 при выплате материальной помощи мобилизованному был удержан НДФЛ. После выхода разъяснений по поводу того, что помощь мобилизованным, членам их семей является необлагаемым доходом, сотруднику было направлено уведомление о возможном возврате НДФЛ.  в мае 2023, находясь в отпуске, сотрудник подал заявление на возврат излишне удержанного налога. Как в 6НДФЛ за 2023 год отразить данную сумму возврата? в разделе 1,2 понятно по каким строкам должно все проходить. у сотрудника в 2023 по организации не проходит доход, и в приложении 1 в сведениях о доходах и суммах налогов у него будет пусто кроме строки Сумма излишне удержанная налоговым агентом? ну так пойдет ошибка чисто математическая - без доходов и удержанного налога появился излишне удержанный.	Как отразить в 6НДФЛ сумму возврата излишне удержанного налога?
Имеет сотрудник право на отпуск по уходу за пожилыми больными родителями? (инсульт и деменция) На какой срок? Справки все есть. Этот отпуск оплачивается или за свой счет?	Какое право имеет сотрудник на отпуск по уходу за пожилыми больными родителями?
Работник предприятия принес вызов на сессию с 20 декабря по 14 января 2024 года. Как  правильно оплатить учебный отпуск? Должны ли быть оплачены дни с 1 января по 8 января 2024 года	Как оплачивать учебный отпуск, когда он включает праздничные дни?
Добрый день. Сотрудница ни дня не работала. с дня приема находилась в отпуске по уходу до 1,5 лет . Как рассчитать окончательный расчет при увольнении ?	Как рассчитывать отпуск в праздничные дни?
Добрый день. Подскажите пожалуйста, в организации к ежегодному отпуску 28 дней у не которых сотрудников добавляется 7 дней за вредность. Нужно их отдельно выделять в графике отпуско?	Как отдельно выделять в графике отпуска добавленные дни за вредность?
Доброе утро! Страховые взносы рассчитываются с начисленной з/пл или какую то роль играет выплата зар. платы например отпускных ранее их начисления ? Если сотрудник не получил зар. плату по каким то причинам страховые взносы перечисляются всё равно?	Как рассчитываются страховые взносы с начисленной зарплаты или с выплатами, таких как отпускные?
Добрый день. У нас есть сотрудник, который имеет право на дополнительный ежегодный отпуск для тех, кто пострадал в результате аварии на Чернобыльской АЭС. В форме ЕФС-1 за 2023 год у него проставляется этот отпуск с параметром НЕ ОПЛ. Нужно его поменять на ЧАЭС?	Как изменить параметр отпуска в форме ЕФС-1 с НЕ ОПЛ на ЧАЭС?
Добрый день! Если сотрудник отгулял отпуск авансом в 2023 года за 2024 год, мы его должны включить в график отпусков?	Как рассчитывается компенсация при увольнении в отпуске?
Иностранный работник (гражданин Узбекистана) убывает в отпуск на 2 месяца, должен ли работодатель подавать данные в миграционную службу об убытии работника	Обязательно ли подавать данные в миграционную службу об убытии иностранного работника на отпуск?
Добрый день. В связи с изменением законодательства в 2024 году, работница, находящаяся в отпуске по уходу за ребенком до 1,5 лет планирует выйти на полный рабочий день с сохранением ежемесячного пособия по уходу. Возможно ли это? Каким образом оформляется такая ситуация?	Как оформляется переход на полный рабочий день с сохранением пособия по уходу за ребенком до 1,5 лет?
Добрый день! Подскажите, пожалуйста, если генеральный директор является по совместительству  начальником производства, при направлении генерального директора в командировку обязательно  оформлять отпуск без сохранения оплаты на начальника производства?	Можно ли оформлять отпуск без сохранения оплаты на начальника производства, если генеральный директор является по совместительству начальником производства?
Добрый вечер. Сотрудница пошла в отпуск  по БиР, БЛ мы получили по ЭДО, данные отправили. А как отправить данные на получение пособия при том, что встала на учет на раннем сроке беременности.. Где это нужно отправлять? Это тоже работодатель отправляет? Спасибо	Как отправить данные на получение пособия при ранней беременности?
Добрый день. Раньше СЗВ стаж мы раз в год сдавали, сейчас разобраться не можем нужно нам сдавать ЕФС-1 ? Если работник 2 недели был в отпуске без сохранения з/платы, а так же на предприятии есть работник мобилизованный с начало СВО.	Как сдавать СЗВ стаж с учетом отпуска без сохранения зарплаты и мобилизации работника?
Добрый день! Вопрос по начислению отпускных: у работника на основном месте работы оклад 35000 руб, еще он в этой же организации по совместительству работает водителем на полставки и оклад у него 10000 р. Работник уходит в отпуск с 09.01.2024 на 28 дней. Подскажите, отпускные считать по каждой должности отдельно или все вместе? Если я беру отдельно 10000, ваш расчетчик не понимает что это полставки и выдает результат, исходя из МРОТ.	Как рассчитывать отпускные по двум должностям?
Добрый день, пришлите, пожалуйста, образец справки с места работы сотрудницы, находящейся в отпуске по уходу за ребенком до 3 лет	Как написать образец справки с места работы сотрудницы, находящейся в отпуске по уходу за ребенком до 3 лет?
Добрый день. Из какой минималки должен считаться средний для расчета отпуска сотруднику уходящему в отпуск после декрета? Федеральной или по Москве, организация зарегистрирована в г. Москве. (Средний исходя из заработка сотрудника до ухода в декрет меньше ,чем расчет из минималки).	Как рассчитывается компенсация при увольнении в отпуске?
Может ли сотрудник уволится или уйти в отпуск в нерабочий праздничный день? ТК РФ? когда нужно в таких случаях выплачивать расчет?	Может ли сотрудник уволиться или уйти в отпуск в нерабочий праздничный день?
Добрый день! Подскажите, если сотрудница с 01 августа 2023 года в отпуске по беременности и родам, а в январе 2024 увольняется, какой период брать с начислениям з/п при расчете компенсации : с 01.08.2022 по 31.07.23 или с 01.01.2023 по 31.07.23.?	Какой период брать с начислениями з/п при расчете компенсации для сотрудницы, увольняющейся в январе 2024 года, но находившейся в отпуске по беременности и родам с 01 августа 2023 года?
Добрый день! Сотрудник на время срочной службы (1 год) не был уволен, трудовой договор был приостановлен на это время. Положен ли трудовой отпуск за этот период?	Положен ли трудовой отпуск за время приостановления трудового договора на срочную службу?
Добрый день! Нужно ли сдавать СЗВ--СТАЖ в СФР, если у сотрудников в течение 2023 года не было никаких отклонений (отпусков за свой счет, больничных и т.д.)?	Как сдавать СЗВ-СТАЖ в СФР, если сотрудники не имели отклонений в 2023 году?
"Доброе утро! Подскажите, пожалуйста. Сотрудница собралась в отпуск по БиР. Оф.трудоустроена в 2023 году, с 2020-2022 год нигде не была трудоустроена, имела статус самозанятой, с 2016-2019 работала на полставки от МРОТ. Можно не заменять периоды, оставить 2022,2021? И если их можно оставить, то какой доход указывать ""0"" или величину МРОТ за соответствующие периоды?"	Как рассчитывается компенсация при увольнении в отпуске?
Добрый день, есть ли какие то обязанности у работодателя предоставлять отпуск в период когда хочет работник? По сотрудникам многодетным и тем у кого школьники обязаны предоставить летом? По остальным сотрудникам работодатель сам решает когда отпустить?	Какие обязанности у работодателя по предоставлению отпуска сотрудникам?
Добрый день. У сотрудницы заканчивается отпуск по уходу за ребенком до 1,5 лет. Какие документы необходимо оформить для оформления отпуска по уходу за ребенком до 3-х лет?	Какие документы необходимо оформить для оформления отпуска по уходу за ребенком до 3-х лет?
Подскажите, пожалуйста, если наша сотрудница находясь в отпуске по уходу за ребенком до 1,5 лет, сейчас хочет выйти на неполный рабочий день - как это оформить и не будет ли у нее уменьшено пособие?	Как оформить выход на неполный рабочий день из отпуска по уходу за ребенком до 1,5 лет?
Добрый день! Скажите пожалуйста как правильно заполнить в отчете за 2023 год отчет по стажу, если сотрудник был в отпуске без содержания.	Как правильно заполнить отчет по стажу, если сотрудник был в отпуске без содержания?
Добрый день! У меня вопрос. Иностранному сотруднику на патенте начислена материальная помощь к отпуску. По какой ставке рассчитать НДФЛ? И можно ли сумму этого НДФЛ зачесть в счет фиксированных платежей ?	Как рассчитывать НДФЛ для иностранного сотрудника, получающего материальную помощь к отпуску?
"Здравствуйте! В отчете сзв стаж (Страховые взносы, сведения о стаже сотрудников ЕФСкакие параметры ) за 2023 г указать, если сотрудник получил компенсацию за неиспольз отпуск при увольнении "" НЕОПЛ"" или вообще не указывать в графе ?"	"Как указать компенсацию за неиспольз отпуск при увольнении ""НЕОПЛ"" в отчете сзв стаж?"
Добрый день! В 2023 году работнице, вышедшей из отпуска по уходу за ребенком расчетный период для расчета больничного, по ее заявлению заменили на 2018 и 2019 год. (2020 по 2022 пособие по уходу за ребенком, по уходу до 1,5 лет) Можем ли мы в 2024 году заменить 2022 год на 2019 и в расчете использовать зар.плату за 2019 и 2023 годы	Можно ли заменить расчетный период для расчета больничного в 2024 году на 2019 и 2023 годы?
Здравствуйте, подскажите пожалуйста при расчете компенсации отпуска при увольнении, включается ли в периоды отсутствия, которые повлияли на расчет рабочего года, отпуск по беременности и родам. Спасибо	Как рассчитывается компенсация при увольнении в отпуске?
Добрый день! Подскажите, пожалуйста на кого нужно подавать сведения ЕФС-1 за 2023 год? Я поняла что на работников, которые оформляли отпуск без сохранения зарплаты, отпуск по уходу за ребенком. Я перечислила только в нашем случае.	Как рассчитывается компенсация при увольнении в отпуске?
Добрый день! ООО, директор и учредитель в 1 лице. Уходит в декретный отпуск. Временно исполняющий обязанности генерального директора назначен по приказу. Надо ли вносить изменения в уставные документы или уведомлять какие-либо инстанции.	Нужно ли вносить изменения в уставные документы или уведомлять какие-либо инстанции при назначении временно исполняющего обязанности генерального директора в ООО, где директор и учредитель в 1 лице?
Здравствуйте, подскажите пожалуйста сотрудница написала заявление на отпуск по уходу за ребенком до 1,5 лет. Организация должна оформить приказ сразу до 3-х лет? Нужна ли справка от отца о неполучении пособия. Спасибо	Как оформлять приказ на отпуск по уходу за ребенком до 1,5 лет?
