Query	ShortQuery
Здравствуйте! Сотрудник работает дистанционно в г. Пермь. Ему положен дополнительный ежегодный отпуск т.к. он работает в местности с особыми климатическими условиями?	Можно ли сотруднику, работающему дистанционно в г. Пермь, выдать дополнительный ежегодный отпуск из-за особых климатических условий?
Здравствуйте! Такой вопрос: Сотрудник Иванов получает зарплату за февраль 03.03 и аванс за март 20.03, обе выплаты попадают в третий срок перечисления (уведомление по ЕНП), затем 30.03 он получает отпускные. Данная выплата уже попадает в первый срок перечисления во второй квартал. Должна ли эта выплата попасть в отчет 6НДФЛ за 1й квартал, если в уведомление по ЕНП эта сумма уже идет во втором квартале в первый срок перечисления.	Как рассчитывается компенсация при увольнении в отпуске?
Сотрудница в сентябре ушла в отпуск по беременности и родам. Можем ли мы ей выплатить квартальную премию за 3 квартал ?	Можно ли выплатить премию за 3 квартал сотруднице, которая ушла в отпуск по беременности и родам?
"Здравствуйте! Сотрудник решил пойти в дополнительный ""чернобыльский"" отпуск последние 14 дней года и принес больничный, который пересекается с отпуском на 1 день, то есть первый день начала отпуска. Нам оплачивать больничный все дни и переносить этот 1 день на 01.01.2024, либо 1 день больничного не оплачиваем?"	Как оплачивать больничный, когда он пересекается с отпуском на 1 день?
Добрый день! Генеральный директор не ходит в отпуск несколько лет. Что делать с накопившимия днями отпуска? Можно ли их списать?	Как рассчитывается компенсация при увольнении в отпуске?
А как же эти условия????????Подраздел 1.2 подраздела 1 заполняют и сдают работодатели только по работникам, которые в отчетном периоде:  выполняли работу, которая дает право на досрочную пенсию; работали в сельском хозяйстве и при исчислении стажа работы которых применяется список работ, производств, профессий, должностей, специальностей, в соответствии с которым устанавливают повышение размера фиксированной выплаты к страховой пенсии по старости и к страховой пенсии по инвалидности (ч. 14 ст. 17 Закона от 28.12.2013 № 400-ФЗ); формировали свои пенсионные права в соответствии с Законом от 15.05.1991 № 1244-1 «О социальной защите граждан, подвергшихся воздействию радиации вследствие катастрофы на Чернобыльской АЭС»; замещали государственные или муниципальные должности, а также должности государственной гражданской службы и муниципальной службы; работали полный навигационный период на водном транспорте, полный сезон на предприятиях и в организациях сезонных отраслей промышленности, вахтовым методом; работали в период отбывания наказания в виде лишения свободы; имели периоды простоя или отстранения от работы; имели периоды освобождения от работы с сохранением места работы на время исполнения государственных или общественных обязанностей; находились в отпуске по уходу за ребенком в возрасте от полутора до трех лет, в отпуске без сохранения зарплаты.	Как рассчитывается компенсация при увольнении в отпуске?
Добрый день, подскажите, пожалуйста, если за 2023год по новым правилам никто не попадает из сотрудников в СЗВ-Стаж (нет ни декретниц, ни отпуска за свой счет,) то тогла нулевой отчет сдавать не нужно?	Нужно ли сдавать СЗВ-Стаж отчет для сотрудников, которые не попадают в СЗВ-Стаж по новым правилам?
Здесь написано, что можно взять только 2020 и 2021 годы, но она в эти годы была в отпуске по уходу за ребенком, у нее не было доходов.	Как рассчитывается компенсация при увольнении в отпуске?
Доброго дня. подскажите пожалуйста, мы создаем резервы на отпуск в бухгалтерском и налоговом учете. В гл. 25 НК РФ правила определения предельной суммы отчислений не установлены. Мы делаем расчет на основании данных ФОТ и пр., получаем по расчету сумму например 489тр. Можем ли мы округлить предельную сумму отчислений до 500тр?	Можно ли округлить предельную сумму отчислений до 500 тр.?
Добрый день! Подскажите как рассчитать отпускные сотруднику, если в периоде  для расчета отпускных т.е. в январе 2023 года был в отпуске и отработал только 1 день, для расчета брать 1 день или 8 выходных + 1 рабочий =9 дн (сколько календарных дней в январе учитывать)?	Как рассчитывать отпускные сотруднику, если в период для расчета отпускных в январе 2023 года был в отпуске и отработал только 1 день, для расчета брать 1 день или 8 выходных + 1 рабочий = 9 дней (сколько календарных дней в январе учитывать)?
Доброе утро! Помогите разобраться. В Организации одновременно произошло индексация зарплаты и перевод сотрудника на другую должность, нужно ли индексировать его средний заработок при расчете отпускных и командировок и как рассчитать коэффициент индексации (его новый оклад по новой должности разделить на старый оклад по прежней должности) или сравнивать оклады старый и новый только по новой должности после перевода? Если и приказ по индексации и приказ о переводе одним числом, и оба изменения действуют с 0101.24	Как рассчитывать отпускные и командировки при индексации зарплаты и переводе на другую должность?
Здравствуйте! Сотрудника с 09.08.23 перевели на другую должность с большим окладом, с 01.01.24 было повышение зарплаты, сотрудник идет в отпуск в январе 2024 в расчетном периоде сотрудник был в отпуске, как правильно рассчитать отпускные если повышению предшествовал перевод на более высокооплачиваемую должность, посчитать два разных коэффициента или один т.к. расчетный период отработан не полностью (был в отпуске)	Как рассчитывать отпускные, если сотрудник переведен на более высокооплачиваемую должность и повышение зарплаты произошло перед отпуском?
"В карте СОУТ от августа 2021 года числится должность ""водитель автомобиля на ГАЗ 322132 гос. № Е586ТУ28"" с предоставлением повышенной оплаты  и дополнительного оплачиваемого отпуска за вредные условия труда. В 2023 году приобретен а/м ГАЗ Автобус и введена новая должность в штатное расписание ""водитель автомобиля ГАЗ Автобус"". Водитель со старого а/м переведен на новый (на который нет СОУТ). Сохраняется ли этому водителю доплата за вредность и дополнительный оплачиваемый отпуск?"	Сохраняется ли доплата за вредность и дополнительный оплачиваемый отпуск для водителя, перешедшего с ГАЗ 322132 на ГАЗ Автобус?
Добрый день! Сотрудница ушла в декрет в 2017 году, на момент ухода у нее было 14 дней неиспользованного основного отпуска. В дальнейшем ей предоставлялся отпуск по уходу за ребенком в соответствии с законом. Теперь она хочет уволиться. Вопрос: компенсация за неиспользованный отпуск эти  14 дней?	Как рассчитывается компенсация за неиспользованный отпуск при увольнении?
Добрый день! скажите пожалуйста сотрудник ушел в отпуск с 11.12.2023 по 15.01.2024, были рассчитаны и выплачены отпускные исходя из МРОТ который действовал в 2023 году, нужно ли пересчитать отпускные в январе исходя из нового МРОТ, если дни отпуска приходятся на январь?	Как рассчитывается компенсация при увольнении в отпуске?
Добрый день. Сотрудницу приняли на работу в ноябре 2023 года. В декабре 2023 она уходит в декретный отпуск. Дохода у других работодателей в 2021 и 2022 году у неее не было. На какие выплаты она может расчитывать?	Какие выплаты сотрудница может расчитывать, если она уходит в декретный отпуск в декабре 2023 года и у нее не было доходов у других работодателей в 2021 и 2022 годах?
суммированный учет рабочего времени год,график сутки через трое,как правильно посчитать  сколько   часов переработка,если сотрудник в отпуске из нормы нужно вычесть дни по графику либо все дни отпуска по 8 часовСотрудник  работает сутки трое	Как посчитать переработку часов при отпуске сотрудника, работающего сутки трое?
Добрый день! Во время декретного отпуска женщина уволилась с прежнего места работы по соглашению сторон с выплатой компенсации в 6-ти кратном размере. После декретного отпуска она устроилась на работу в нашу организацию. Как рассчитать оплату больничного листа по уходу за ребенком до 7 лет женщине, которая только что вышла из декретного отпуска? Ее общий стаж 10 лет.	Как рассчитать оплату больничного листа по уходу за ребенком до 7 лет женщине, которая только что вышла из декретного отпуска?
Подскажите,пожалуйста! Сотрудница вышла в отпуск по БиРу в статусе ВНЖ.(Таджикастан)    Предоставила больничный от 10.11.2023 г. по БиР.  Поменяла гражданство на РФ, паспорт от 15.12.2023 г.	Как рассчитывается компенсация при увольнении в отпуске?
Исключается ли для расчета пособия по больничному время отпуска без сохранения? Сотрудник в отпуске без сохранения и в этот период пришел больничный. Читаю, что работодатель не должен оплачивать его, ФСС оплачивает?	Как рассчитывается пособие по больничному при отпуске без сохранения?
Добрый день, у работницы 31 декабря 2023 года заканчивается отпуск по беременности и родам. Подскажите, пожалуйста, с какого числа правильнее предоставить ей отпуск по уходу за ребенком до трех лет, с 01.01.2024 или с 09.01.2024?	Как рассчитывать отпуск в праздничные дни?
добрый день. подскажите необходимо уволить сотрудника -иностранного гражданина, расторгнуть трудовой договор, если есть постановление суда о совершении административного правонарушения по ст.18.10 КоАП  РФ и назначением ему наказанием в виде штрафа и с административным выдворением за пределы РФ. Решение суда вступило в законную силу 9.01.2024 г, а копия решения работодателем получен 15.01.2024 г. Каким числом необходимо уволить? Нужно ли начислить компенсацию за неиспользованный отпуск?	Как рассчитывается компенсация за неиспользованный отпуск при увольнении иностранного гражданина?
У нас работница идёт на больничный по беременности и родам 22 декабря. Я считаю стаж ей работы.но вопрос в том, включать ли в стаж время её нахождения в декретном отпуске  и отпуске  по уходу за ребёнком в 2016 -2018 годах? И вопрос в том, сколько процентов ей оплачивать в связи с беременность и родами 100 или меньше в зависимости от её стажа?	Как рассчитывается компенсация при увольнении в отпуске?
Добрый день! подскажите пжста нужно ли сдавать отчет СЗВ Стаж (теперь ЕСФ-1) на сотрудницу которая находится в отпуске по уходу за ребенком до 1,5 лет	Нужно ли сдавать отчет СЗВ Стаж (ЕСФ-1) на сотрудницу в отпуске по уходу за ребенком до 1,5 лет?
сотрудница принесла больничный с 19.12.2023 по 22.12.2023 по уходу за больным ребенком . у нее в 2020 и 2021 г был декретный отпуск  на какие года можно заменить расчетный период	Как заменить расчетный период декретного отпуска на другие годы?
Добрый день! Сотрудница уходит в декретный отпуск. Издали приказ на 140 дней без сохранения заработной платы в связи с декретным отпуском. Нужно ли сдавать отчет по ней в СФР ? ЕФС-1?	Как сдавать отчет по сотруднице, уходящей в декретный отпуск без сохранения заработной платы?
Здравствуйте! У сотрудника жена родила ребенка. Жена хочет выйти на работу, может ли папа по заявлению оформить отпуск до 1,5 лет ,продолжая работать, либо ему надо снизить ставку?	Как оформить отпуск для отца, когда мать возвращается на работу после рождения ребенка?
"при расчете компенсации за неиспользованный отпуск при увольнении  надо ориентироваться на МРОТ . В  статье ""Когда при расчете компенсации за неиспользованный отпуск при увольнении учитывать МРОТ"" ссылаетесь на п.18  Постановление Правительства РФ от 24.12.2007 № 922 .                                            18. Во всех случаях средний месячный заработок работника, отработавшего полностью в расчетный период норму рабочего времени и выполнившего нормы труда (трудовые обязанности), не может быть менее установленного федеральным законом минимального размера оплаты труда. Согласно этого я бы сделала вывод, что при увольнении должна ориентироваться на федеральный МРОТ. Правильно или нет ?"	"

При расчете компенсации за неиспользованный отпуск при увольнении, надо ориентироваться на федеральный минимальный размер оплаты труда (МРОТ).

При увольнении, надо ли ориентироваться на федеральный минимальный размер оплаты труда (МРОТ) для расчета компенсации за неиспользованный отпуск?"
в ООО с 2022г., учредитель и  директор в одном лице, по факту компания не работает и директор находится в неопл отпуске с момента открытия ООО, необходимо ли сдавать по нему форму СЗ-ТД и СЗ Стаж, СЗВ-М за 2022г?	Как сдавать документы для директора ООО, который находится в отпуске и компания не работает?
Добрый день, работодателем принято решение сокращать должность, за 2 месяца предупредили работников, в день сокращения выплатили начисленную з/п и компенсацию за не использованный отпуск, обязан ли работодатель еще что-то платить?	Как рассчитывается компенсация за не использованный отпуск при сокращении должности?
Добрый день. Вопрос по СЗВ-СТАЖУ за 2023 г. Просьба ответить конкретно на каждый вопрос, без отсылки к документам. 1. Сведения подаются на всех работников или только на тех, кто по каким-либо причинам (декрет, больничный, отпуск без содержания) отсутствовал? 2. На внешних совместителей (подразумевается с теми же причинами отсутствия, что и в первом вопросе) также подаются сведения или на них сдадут по основному месту работы?	Как рассчитывается компенсация при увольнении в отпуске?
Здравствуйте, подскажите, пожалуйста, если у организации практически нет операций и один сотрудник-директор в отпуске без сохранения зп, нужно ли сдавать полную годовую бухгалтерскую отчетность с пояснениями к бухгалтерскому балансу?	Как рассчитывается компенсация при увольнении в отпуске?
можно ли взять отпуск за свой счет во время больничного и что грозит работодателю если оформим отпуск во время больничного?	Можно ли взять отпуск за свой счет во время больничного и что грозит работодателю если оформим отпуск во время больничного?
Добрый день! подскажите пожалуйста, Отпуск по уходу за ребенком до 1,5 лет входит в Иные периоды, исключаемые из стажа, дающего право на ежегодный основной оплачиваемый отпуск, за каждый рабочий год за исключением отпусков без сохранения заработной платы?	Отпуск по уходу за ребенком до 1,5 лет влияет на стаж для получения ежегодного основного оплачиваемого отпуска?
2 Вопрос:  Есть сотрудник многодетный с удостоверением многодетная семья. Какие у нее есть права: дополнительный отпуск или дополнительный выходной. Что должен работодатель предоставить данному сотруднику.   3 Вопрос:  Инвалиды 3 гр. и 2 гр. Должны ли мы  как работодатель делать сокращенный рабочий день? Оплачивается ли этот день? Какие есть нормативные документы которые мы должны оформить.	Права многодетных сотрудников и обязательства работодателя по условиям труда.
в отпуск сотрудник со 2 октября, выплата отпускных была 28 сентября. в ндфл-6 данные отпускные должны в какой период попасть за 9 месяцев или за год?	Как рассчитывается отпускные для сотрудника, который вышел в отпуск со 2 октября и получил выплату отпускных 28 сентября?
Добрый день. Подскажите пожалуйста если в течении года не было кадровых изменений, право на досрочную пенсию никто не имеет, в отпуске за свой счет никто не был то раздел о стаже в форме ефс -1 сдавать не надо? Правильно я понимаю что теперь не все сдают эти сведения?	Нужно ли сдавать форму ЕФС-1 с разделом о стаже, если не было кадровых изменений и не было отпуска за свой счет в течении года?
Здравствуйте! Если сотрудница прервала отпуск по уходу за ребенком до 1,5 лет и вышла на работу. Как ей сейчас восстановить право на получение отпуска по уходу и продолжать работать полную ставку? В связи с принятыми изменениями в Федеральный закон от 19.12.2023 № 614-ФЗ, Федеральный закон от 19.12.2023 № 620-ФЗ	Как восстановить право на получение отпуска по уходу после прерывания и продолжать работать полную ставку?
10 января 2024 г сотрудник -(папа ребенка)  подал заявление на выплату отпуска по уходу за ребенком  до 1,5 лет  ( мама  ребенка не работает  ). Мы обязаны начислить пособие по уходу за ребенком папе.  Далее ,  11 января  2024 г папа  выходит на работы ,и  отказывается о этого отпуска . Вопрос , по новому законодательству с 01.01.2024 г пособие по уходу за ребенком  он продолжает получать ,  даже выйдя на работу на полный рабочий день ?	По новому законодательству с 01.01.2024 г, папа ребенка, выйдя на работу на полный рабочий день, продолжает получать пособие по уходу за ребенком до 1,5 лет?
Как отразить в РСВ и 2-НДФЛ сторно за использованный авансом отпуск при увольнении сотрудника, если увольнение в апреле, а отпуск был в январе?	Как отразить в РСВ и 2-НДФЛ сторно за использованный авансом отпуск при увольнении сотрудника, если увольнение в апреле, а отпуск был в январе?
Вопрос :Сотрудники, у которых трое и больше детей в возрасте до 18 лет*  (Ст. 262.2 ТК) имеет право взять отпуск  в любое время, даже если он не отработал 6 месяцев ?      «	Право на отпуск у сотрудников с тремя и более детьми в возрасте до 18 лет, несмотря на отсутствие 6-месячной работы?
к каким приказам отнести приказ об утверждении графика отпусков, много противоречивой информации,. либо к личному составу либо к основной деятельности	Как отнести приказ об утверждении графика отпусков к личному составу или к основной деятельности?
Добрый вечер! Сотрудница с 27.02.2023 по 16.07.2023 находилась в отпуске по по БИР., а затем с 17..07.2023 по 08.01.2024 в отпуске уходу за ребенком до 1,5 лет, В период отпуска по уходу за ребенком с 01.08.2023г.по 08.01.2024г.работала на условиях неполного рабочего дня. с 22.01.2024г. сотруднице предоставлен ежегодный оплачиваемый отпуск. Вопрос: Какой расчетный период надо взять для расчета среднего заработка и отпускных?	Какой расчетный период надо взять для расчета среднего заработка и отпускных?
Добрый день! Сотрудница находится в отпуске по уходу за ребенком до 1,5 лет. Выходит на работу 15 дней, совместитель на условии неполного рабочего времени. Может ли она потом снова вернуться в отпуск по уходу за ребенком до 1,5 лет и получать пособие? Будет ли получать пособие за те дни, что она работала?	Может ли сотрудница, работающая на неполный рабочий день, вернуться в отпуск по уходу за ребенком до 1,5 лет и получать пособие?
Добрый день. К нашей организации А присоединяется в форме реорганизации другая организация В.  Работники переводятся в организацию А. А если у них остались неизрасходованные отпуска, можно ли им выплатить компенсацию в организации В, или каким образом им будет начислен отпуск по графику в организации А?	Как рассчитывается компенсация при переводе работников с неиспользованным отпуском?
подскажите, пожалуйста, если сотрудница с октября 2022г. находится в отпуске по уходу за ребенком до 1,5 лет , нужно ли это отобразить в ГОДОВОМ отчете ЕФС-1 - подраздел 1.2?и как это правильно сделать, если да?	Как отображать отпуск по уходу за ребенком до 1,5 лет в ГОДОВОМ отчете ЕФС-1 - подраздел 1.2?
Доброе Утро! Подскажите, пожалуйста, как рассчитать больничный сотруднице, по уходу за ребенком, если она до этого года находилась в отпуске по уходу за ребенком с 2018 г. по 31.12.2023 г. ?	Как рассчитывать больничный сотруднице, по уходу за ребенком, если она до этого года находилась в отпуске по уходу за ребенком с 2018 г. по 31.12.2023 г.?
Здравствуйте! Подскажите, пожалуйста, являются ли компенсация за неиспользованный отпуск при увольнении и оплата листа нетрудоспособности - выплатами социального характера? Спасибо!	Являются ли компенсация за неиспользованный отпуск и оплата листа нетрудоспособности выплатами социального характера?
Добрый день. ООО занимается оптовой продажей сахара песка. Налоговая попросила (встречная проверка) расчет (калькуляция) отпускной цены на единицу реализованного товара. Подскажите пожалуйста какие данные необходимо предоставить? Мы не являемся производителями - калькуляции не делаем.	Какие данные необходимо предоставить для расчета отпускной цены на единицу реализованного товара?
Добрый день. У нас сотрудница в декабре брала дополнительный отпуск по уходу за ребенком инвалидом. Нужно ли данные дни отражать в подразделе 1.2  ЕФС-1 (стаж основание сотрудника ДОПВЫХ)?	Как отражать в подразделе 1.2 ЕФС-1 дополнительный отпуск по уходу за ребенком инвалидом?
Доброе утро. Подскажите, пожалуйста, как оформить отпуск по уходу за ребенком, если отпуск по беременности и родам не закончился? Сотрудник находится в отпуске по БиР с 09.11.2023 по 27.03.2024, а роды состоялись 27.12.2023	Как оформить отпуск по уходу за ребенком, если отпуск по беременности и родам не закончился?
Добрый день! Подскажите, пожалуйста, сотрудник получает по совмещению доплату, как правильно оформить получаемую доплату, если этот сотрудник идет в отпуск?	Как оформить получаемую доплату при отпуске сотрудника, работающего по совмещению?
Здравствуйте ! Нужно ли вести воинский учет на генерального директора, который является единственным участником общества, если он находится в отпуске за свой счет и он всего лишь один единственный сотрудник. Или в случае, если генеральный директор - единственный учредитель компании и с ним не заключен трудовой договор.	Нужно ли вести воинский учет для генерального директора, который является единственным участником общества и не заключил трудовой договор?
Доброе утро!  Сотрудник по авансовому отчету возмещает льготный отпуск, в маршрутной квитанции вкл. строка *страховка пассажира на время полета* Вопрос: можем ли мы сумму страховки взять в расходы и возместить сотруднику?	Можем ли мы сумму страховки взять в расходы и возместить сотруднику?
Добрый вечер! Скажите, пожалуйста, как будет рассчитываться отпуск по уходу за ребёнком до 1,5 лет, если сотрудница после отпуска по беременности и родам сначала пойдёт в очередной оплачиваемый отпуск, а после него в отпуск по уходу за ребенком? Вопрос возник в связи с тем, что в данном случае отпуск по уходу за ребенком начнется в 2024 году, а не в 2023	Как рассчитывается отпуск по уходу за ребенком после отпуска по беременности и родам?
Вопрос по  начислению отпускных. Сотрудник пошел в отпуск  до пустим с  10 числа. 5 ему перечисляем отпуск. В расчет берем 12 месяцев. Вроде все нормально. Рассчитали ,выплатили. Но 15 числа была начислена и выплачена премия за прошедший месяц. В расчет отпуска она не попала, т.к. на то момент еще не была начислена. Вопрос надо ли пересчитывать отпускные сотруднику???	Надо ли пересчитывать отпускные сотруднику, если премия за прошедший месяц была выплачена после начала отпуска?
ДД! Вопрос как  предоставляются  стандартные вычета по НДФЛ на ребенка работнику за период отпуска без сохранения зарплаты.  если он работал март ,апрель и ноябрь декабрь м-ц  с учетом того что вычеты предоставляются с нарастающим итогом за год но сотрудник работает на пол ставки в ООО, т,к, он директор и учредитель в одном лице и других мест работы у него нет.	Как рассчитываются стандартные вычета по НДФЛ на ребенка работника за период отпуска без сохранения зарплаты, если он работал на полной ставке в ООО и является директором и учредителем в одном лице?
Добрый день! Уточните, пожалуйста, в форме Т-6 приказа об ежегодном отпуске в строке период всегда указывается именно год, за который предоставляется отпуск? Имеется ввиду недопустимо, например поставить пол года?	Как указывать год в форме Т-6 приказа об ежегодном отпуске?
доброе утро, подскажите пожалуйста, ген. директор находится в отпуске за свой счет может ли он подписывать с собой как с учредителем  договор займа ?	Может ли гендиректор в отпуске подписывать с собой договор займа?
А проводки я правильно думаю: Дт 20/1 Кт 76- доначислена компенсация за неиспользуемый отпуск при увольнении работнику при выдаче годовой премии за прошлый год, и Дт 76- Кт 51 - выплачено дочисление работнику?	Как рассчитывается компенсация за неиспользуемый отпуск при увольнении работника?
Добрый день.  Сотрудница не открывала больничный по беременности и родам, но планирует уйти в отпуск по уходу за ребенком. С какой даты может быть оформлен данный отпуск? с даты рождения? В данном случае нет необходимости ждать 70 дней после родов, как в том случае когда открыт больничный?	Как определяется начало отпуска при уходе за ребенком без открытия больничного?
